UID,Name,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,Height,Weight,AerialAbility,CommandOfArea,Communication,Eccentricity,Handling,Kicking,OneOnOnes,Reflexes,RushingOut,TendencyToPunch,Throwing,Corners,Crossing,Dribbling,Finishing,FirstTouch,Freekicks,Heading,LongShots,Longthrows,Marking,Passing,PenaltyTaking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decisions,Determination,Flair,Leadership,OffTheBall,Positioning,Teamwork,Workrate,Acceleration,Agility,Balance,Jumping,LeftFoot,NaturalFitness,Pace,RightFoot,Stamina,Strength,Consistency,Dirtiness,ImportantMatches,InjuryProness,Versatility,Adaptability,Ambition,Loyalty,Pressure,Professional,Sportsmanship,Temperament,Controversy,PositionsDesc,Goalkeeper,Sweeper,Striker,AttackingMidCentral,AttackingMidLeft,AttackingMidRight,DefenderCentral,DefenderLeft,DefenderRight,DefensiveMidfielder,MidfielderCentral,MidfielderLeft,MidfielderRight,WingBackLeft,WingBackRight
19030163,Felipe Alves,1651,21/05/1988,28,0,0,0,0,187,79,12,9,10,16,12,12,12,13,14,16,11,9,2,10,2,10,12,2,2,3,2,10,4,3,10,9,10,12,12,10,8,11,10,3,8,2,12,12,8,11,13,9,14,20,13,11,10,14,12,10,5,10,11,10,8,10,10,6,8,7,13,16,GK ,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1
19030165,Ricardinho,1651,12/01/1989,27,0,0,0,0,172,61,1,3,3,3,1,3,3,2,3,2,3,6,8,11,12,11,7,9,8,8,7,11,12,4,11,9,8,12,11,8,9,13,11,11,8,11,12,11,11,12,12,11,8,8,8,12,20,15,8,7,8,7,8,9,12,8,6,7,8,7,7,11,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
19030216,Danilo Alves,1651,12/02/1989,27,0,0,0,0,181,74,1,4,4,2,3,2,2,1,1,2,1,10,8,11,8,12,8,11,12,7,11,11,5,7,12,10,12,10,8,9,12,12,10,12,9,13,11,12,10,14,12,12,9,12,8,12,20,10,8,9,7,10,12,10,16,11,5,11,11,8,1,3,DM/M C,1,1,1,14,6,8,1,1,1,17,20,5,5,1,1
19030218,Fabiano,1651,29/02/1988,28,0,0,0,0,197,90,15,14,13,4,13,14,14,16,10,12,17,7,3,1,1,8,12,10,1,3,2,10,3,1,9,13,12,14,10,10,7,11,12,1,10,5,12,12,12,8,12,15,17,7,16,8,20,14,17,12,10,8,7,11,13,11,13,7,14,11,12,4,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19030219,Fernando,1651,08/06/1990,26,0,0,0,0,190,84,3,1,2,1,1,1,2,1,3,4,1,2,4,3,2,5,4,7,1,2,12,5,1,12,1,8,5,7,5,7,2,11,5,2,13,4,8,4,5,12,12,5,14,8,8,12,20,10,8,8,8,6,8,8,18,8,9,11,11,4,11,6,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
19030226,Robinho,1651,10/11/1987,28,0,0,0,0,172,68,1,3,3,3,1,1,3,3,1,1,3,12,15,13,11,13,14,7,13,8,10,14,12,10,14,12,13,11,13,13,15,13,14,14,10,13,9,15,13,15,14,11,7,9,14,15,20,13,11,12,10,11,13,13,11,15,17,12,14,13,12,8,M/AM C,1,1,10,20,1,1,1,1,1,10,19,1,1,1,1
19030233,Rodrigo Ost,1651,02/08/1988,27,0,0,0,0,189,82,1,2,1,3,3,2,1,1,1,2,2,6,5,8,8,10,6,4,9,4,4,11,4,8,11,9,8,7,7,6,7,8,5,9,5,12,8,7,12,13,10,6,15,20,10,10,12,9,10,9,9,9,7,9,9,10,9,12,10,10,8,7,AM C,1,1,1,20,1,1,1,1,1,1,15,1,1,1,1
19030380,Bruno Silva,1651,15/02/1988,28,0,0,0,0,183,80,1,3,4,2,1,1,4,1,1,2,3,7,10,10,8,10,10,12,11,7,12,10,6,12,10,9,12,11,12,11,9,12,3,4,5,10,12,13,12,12,12,12,11,8,13,12,20,11,11,10,10,8,5,10,9,11,11,12,13,12,8,1,D C,1,1,1,1,1,1,20,1,1,15,10,1,1,1,1
19030381,Bruno Formigoni,1651,08/04/1990,26,0,0,0,0,178,69,1,3,2,3,3,2,3,3,2,1,1,6,6,11,8,11,10,9,10,9,13,10,12,15,12,11,13,15,10,10,12,12,10,7,12,7,12,12,13,13,13,9,10,8,14,13,20,14,10,13,6,6,11,12,7,12,14,16,12,6,15,10,DM/M C,1,1,1,1,1,1,1,1,1,20,17,1,1,1,1
19030383,Luan,1651,30/12/1988,27,0,0,0,0,184,84,3,3,3,3,1,3,1,1,1,1,1,6,9,7,7,10,8,11,8,10,12,11,8,12,10,15,12,14,11,11,10,11,13,11,10,10,12,13,13,10,11,8,13,9,13,11,20,14,14,12,15,6,7,10,10,11,14,10,8,4,10,3,DM ,1,1,1,1,1,1,1,1,1,20,13,1,1,1,1
19030559,Kaká,1651,16/09/1988,27,0,0,0,0,180,68,3,3,3,1,1,3,4,3,4,3,2,6,6,10,13,9,6,8,6,1,6,10,2,7,8,7,11,8,8,6,11,11,9,10,9,13,8,7,8,12,10,7,10,10,10,12,20,13,7,9,9,10,8,9,13,9,12,12,13,1,1,2,AM/S C,1,1,20,19,1,1,1,1,1,1,15,1,1,1,1
19030663,Pimentinha,1651,13/09/1987,28,0,0,0,0,165,62,2,1,3,4,2,1,4,3,3,3,3,10,12,13,10,11,7,7,12,6,6,8,8,4,13,9,12,13,11,9,11,10,3,13,13,13,12,8,12,14,15,10,3,20,7,16,10,14,4,10,4,11,8,11,15,12,13,12,11,9,7,1,AM/S RC,1,1,20,16,1,19,1,1,1,1,1,1,1,1,1
19030693,Alisson,1651,03/12/1985,30,0,0,0,0,188,84,3,3,1,1,3,4,2,2,2,2,2,2,1,1,6,6,1,13,3,3,11,4,3,13,6,6,11,9,5,9,1,13,5,1,12,4,10,6,8,13,11,7,13,1,13,13,20,12,8,9,9,8,9,9,20,8,11,11,12,1,9,4,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
19030694,Diones,1651,21/06/1985,31,0,0,0,0,178,76,3,1,3,1,1,2,3,4,3,2,2,8,10,11,11,12,8,11,12,12,12,12,10,12,12,14,10,14,11,12,10,11,13,10,11,12,12,16,13,12,12,13,9,11,14,12,20,13,11,13,12,11,8,16,11,10,11,12,10,9,7,9,DM/M RC,1,1,1,10,1,9,1,10,14,18,20,12,17,11,15
19030735,Robson Alex,1651,20/05/1986,30,0,0,0,0,183,73,3,1,2,1,1,3,1,2,4,2,1,8,9,11,10,10,6,12,8,10,8,11,10,7,13,11,10,11,9,11,9,10,5,10,14,11,7,9,11,11,12,10,9,20,13,13,14,12,11,12,6,8,4,10,17,9,12,12,9,9,10,6,AM/S RL,1,1,20,1,18,18,1,1,1,1,1,1,1,1,1
19030843,Robinho,1651,31/12/1985,30,0,0,0,0,186,78,1,2,3,1,1,4,2,3,3,3,2,7,4,10,7,10,4,12,4,7,14,9,6,11,10,16,12,10,9,10,5,14,7,1,6,7,11,8,9,9,10,9,13,20,14,12,9,12,13,10,13,9,7,10,19,12,10,12,10,10,12,7,D C,1,1,1,1,1,1,20,11,1,1,1,1,1,1,1
19030933,Neto,1651,19/07/1989,26,0,0,0,0,192,84,13,14,13,6,15,10,15,16,14,13,12,5,3,1,3,10,7,6,3,2,2,9,6,3,8,8,14,12,14,15,11,14,13,6,8,3,14,10,12,12,15,15,15,7,14,13,20,14,16,8,7,10,6,12,12,15,12,13,11,11,12,8,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19030965,Ruy,1651,26/01/1989,27,0,0,0,0,170,75,2,1,3,3,3,1,3,2,2,3,2,12,14,8,8,14,10,7,10,8,7,14,7,9,14,10,11,5,10,7,8,13,5,13,3,10,8,9,13,14,14,9,5,20,9,14,7,14,6,11,8,10,10,10,12,13,11,12,13,8,8,4,M/AM LC,1,1,1,17,20,1,1,1,1,1,17,19,1,1,1
19030966,Tiago Real,1651,26/01/1989,27,0,0,0,0,172,70,1,2,3,1,4,1,1,3,3,1,1,12,11,12,12,13,10,7,13,4,11,12,12,9,14,11,12,13,11,8,11,11,12,13,8,14,12,12,14,13,14,12,5,10,12,13,20,13,7,10,10,13,8,16,13,12,10,12,9,9,12,7,DM/M/AM C,1,1,8,18,10,14,1,1,1,16,20,8,13,1,1
19030967,Willian Farias,1651,06/06/1989,27,0,0,0,0,176,75,2,1,2,1,3,3,4,3,2,1,3,8,9,11,11,14,7,13,13,11,14,14,7,14,14,13,14,13,14,13,12,13,13,9,14,13,13,15,15,13,13,12,12,7,13,13,20,15,14,15,11,14,9,11,11,11,12,14,14,10,10,8,DM/M C,1,1,1,1,1,1,7,1,9,20,18,1,1,1,10
19030993,Éverton,1651,11/12/1988,27,0,0,0,0,174,66,3,2,1,3,1,3,2,2,2,3,2,9,12,14,10,10,7,4,10,6,9,13,13,7,14,9,11,11,10,10,12,11,15,14,5,12,5,12,12,16,16,9,7,20,13,18,10,9,9,10,13,14,13,17,6,16,9,14,13,12,14,5,WB/M/AM RLC,1,1,1,15,20,19,1,15,1,1,7,16,1,16,1
19030995,Lima,1651,11/08/1983,32,0,0,0,0,180,78,2,1,4,4,3,1,1,2,1,3,3,8,11,12,17,13,10,12,14,7,6,11,13,6,14,14,16,16,16,13,12,15,12,13,9,16,9,12,14,13,14,13,12,12,13,13,20,14,13,13,7,12,6,10,13,12,14,15,13,13,14,6,S ,1,1,20,5,5,5,1,1,1,1,1,1,1,1,1
19031249,Sérvulo,1651,21/12/1985,30,0,0,0,0,183,79,13,13,13,11,13,11,12,14,13,12,11,1,2,2,1,3,1,1,1,1,1,2,3,2,3,10,12,11,8,12,6,13,14,1,14,2,14,8,12,9,14,13,13,8,5,11,20,7,9,13,10,10,7,9,9,14,13,15,15,14,15,8,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19031670,Douglas,1651,04/10/1988,27,0,0,0,0,189,80,1,1,2,2,2,2,2,1,2,2,2,2,6,4,3,8,4,13,4,6,13,10,11,12,6,14,11,15,6,12,5,11,14,1,16,6,13,15,13,9,7,15,15,7,15,9,20,15,15,15,11,13,6,4,13,12,15,14,16,8,10,11,D C,1,11,1,1,1,1,20,1,1,1,1,1,1,1,1
19032023,Diego Higino,1651,14/09/1986,29,0,0,0,0,183,83,1,2,4,2,1,3,3,2,4,1,2,1,6,7,12,10,7,11,9,1,3,8,15,2,9,10,10,12,11,7,7,9,12,13,5,12,6,9,9,11,10,12,13,10,14,11,20,11,13,13,8,11,6,5,18,12,12,10,12,1,8,7,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
19032353,Vítor,1651,01/02/1987,29,0,0,0,0,181,80,3,1,3,2,2,1,1,1,3,2,1,6,6,8,7,11,9,9,8,8,12,10,8,11,9,13,10,13,10,12,11,11,12,12,11,10,11,11,12,11,11,11,11,10,12,12,20,12,13,10,8,10,9,8,7,9,6,11,12,8,12,8,DM ,1,1,1,1,1,1,1,1,1,20,10,1,1,1,1
19032423,Claudemir,1651,27/03/1988,28,0,0,0,0,187,73,1,2,1,2,1,3,1,2,3,1,3,8,13,8,7,14,11,6,10,18,12,14,7,13,12,7,13,8,14,12,12,13,10,4,8,11,14,16,14,11,11,11,12,11,7,11,20,15,11,12,6,13,3,16,6,9,17,14,10,15,10,2,M C,1,1,1,14,1,1,1,1,1,14,20,12,14,1,1
19032438,Elanardo,1651,30/06/1986,30,0,0,0,0,173,68,1,1,2,1,3,4,1,4,1,2,2,8,8,5,8,14,13,8,13,1,13,14,6,14,12,9,12,7,7,10,10,14,5,7,9,10,10,9,12,14,14,8,7,10,16,14,20,10,7,10,7,10,7,10,13,10,11,13,10,10,9,8,DM/M C,1,1,1,1,1,1,1,1,1,18,20,1,1,1,1
19032552,Gabriel Leite,1651,28/12/1987,28,0,0,0,0,187,82,7,12,12,14,13,15,10,15,10,8,15,1,1,2,1,7,3,1,3,2,1,2,16,3,3,11,12,13,12,12,8,14,11,1,9,1,14,9,8,7,16,9,16,3,14,8,20,8,10,13,7,13,13,10,14,12,12,10,11,10,2,8,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19032626,Roberto Pichou,1651,05/09/1987,28,0,0,0,0,178,0,2,3,2,3,1,4,1,1,3,1,3,4,2,12,12,12,6,7,14,3,4,4,14,2,13,9,13,7,12,5,2,13,12,11,11,13,6,6,7,13,13,7,5,10,9,15,20,12,9,11,9,9,5,9,11,16,5,12,10,1,18,1,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
19032708,Bileu,1651,28/03/1989,27,0,0,0,0,177,69,3,1,1,1,3,3,1,3,2,3,2,6,9,11,9,10,9,9,10,11,14,11,10,12,10,15,9,14,8,9,9,9,14,9,7,11,11,15,12,13,14,9,9,7,15,13,20,14,9,11,12,9,7,14,8,11,14,10,12,9,8,11,D/WB/DM/M RC,1,1,1,1,1,1,5,1,18,20,17,1,15,1,18
19032754,Fabiano,1651,03/06/1977,39,0,0,0,0,185,85,10,11,6,3,10,10,10,11,10,9,10,2,3,2,3,5,6,1,3,2,2,2,3,1,7,9,11,12,8,10,7,14,6,1,5,2,12,8,7,12,11,8,12,10,9,14,20,4,10,9,8,9,9,9,8,4,13,13,11,9,5,6,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19032891,Léo Bonfim,1651,14/01/1983,33,0,0,0,0,186,80,3,3,1,1,1,3,1,3,1,1,2,4,3,4,5,8,6,13,3,6,11,8,5,11,9,12,10,12,10,11,8,11,11,7,14,9,11,14,7,7,7,9,11,20,12,8,4,10,11,11,7,8,8,8,13,13,9,12,14,1,15,5,D LC,1,1,1,1,1,1,20,15,1,1,1,1,1,1,1
19032944,Adriano,1651,29/05/1987,29,0,0,0,0,171,70,1,1,4,3,2,3,2,3,1,2,2,7,6,6,8,7,8,7,8,8,14,12,6,14,11,15,15,15,13,14,12,13,16,9,8,7,14,16,17,14,13,14,7,8,13,14,20,14,15,14,16,12,11,8,13,13,13,13,12,12,8,10,DM ,1,1,1,1,1,1,1,1,1,20,12,1,1,1,1
19032948,Wágner,1651,14/08/1986,29,0,0,0,0,177,0,2,4,3,2,3,2,2,2,1,3,1,3,4,7,7,6,1,8,1,6,7,9,3,11,9,7,8,9,9,9,9,8,9,1,11,6,10,8,9,14,14,8,4,20,8,14,10,14,8,9,5,9,5,9,12,10,13,11,12,10,19,1,D L,1,1,1,1,1,1,1,20,1,1,1,11,1,15,1
19032953,Rafael Roballo,1651,19/07/1989,26,0,0,0,0,190,90,14,9,12,9,13,11,7,14,9,9,7,2,2,1,2,3,5,1,1,1,1,3,2,1,7,9,8,10,8,14,7,14,6,3,10,1,8,8,6,12,9,7,17,1,7,11,20,2,11,9,9,9,6,9,8,12,11,10,9,10,15,2,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19032955,Ronaldo Alves,1651,09/07/1989,26,0,0,0,0,184,84,3,2,3,3,1,3,2,1,2,4,3,10,8,8,10,12,7,14,7,8,13,12,6,14,11,12,13,14,12,13,11,15,12,13,9,10,12,13,14,13,7,13,14,12,11,12,20,13,13,13,13,12,11,12,9,6,11,10,8,11,9,6,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
19032956,Raphael Martinho,1651,15/04/1988,28,0,0,0,0,183,73,1,1,3,4,2,2,1,3,3,1,3,12,13,14,10,12,10,8,11,11,8,10,13,12,13,9,11,12,9,11,12,10,14,12,9,13,12,12,13,14,14,10,10,20,10,14,5,14,12,13,6,11,14,12,15,15,11,13,13,13,13,8,M/AM L,1,1,1,10,16,12,1,12,1,1,14,20,8,14,1
19032957,Afonso,1651,14/06/1989,27,0,0,0,0,186,71,2,2,3,3,1,1,1,1,1,2,2,1,4,12,12,8,4,12,1,4,4,3,1,2,11,7,7,4,5,5,2,10,6,12,1,6,5,4,6,12,12,5,11,9,7,12,20,11,9,8,8,3,6,8,8,13,13,11,10,1,4,5,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
19032959,Mauro Alonso,1651,12/08/1988,27,0,0,0,0,180,75,3,1,1,1,3,3,3,2,2,3,3,12,11,12,8,13,10,5,11,7,7,13,11,7,13,14,9,8,7,6,13,11,7,8,11,8,6,8,10,12,10,8,6,20,8,13,10,12,8,8,7,8,7,9,19,12,12,8,10,4,12,6,M C,1,1,1,10,1,1,1,1,1,1,20,10,1,1,1
19033030,Saulo,1651,02/04/1989,27,0,0,0,0,195,75,14,13,13,3,13,11,13,14,10,12,12,3,4,5,3,8,7,12,3,3,7,9,2,10,8,14,13,13,11,12,5,10,13,3,11,3,13,12,12,8,13,11,17,5,14,10,20,9,13,11,8,12,7,11,11,13,15,11,14,10,11,12,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19033065,Adalberto,1651,16/11/1987,28,0,0,0,0,185,79,3,1,2,1,1,3,1,1,4,3,2,3,4,6,5,12,7,14,8,6,13,11,8,13,11,13,15,14,10,12,6,11,13,7,11,8,14,13,13,12,10,13,13,20,14,12,8,14,14,12,10,15,4,11,12,13,15,13,14,6,11,11,D C,1,1,1,1,1,1,20,10,1,1,1,1,1,1,1
19033124,Gílson,1651,06/07/1984,31,0,0,0,0,181,77,2,3,2,3,2,3,3,4,1,1,2,9,12,11,9,9,12,8,9,5,9,15,11,4,11,8,8,6,5,6,14,10,8,14,5,10,2,9,10,10,9,7,8,5,7,11,20,10,9,5,9,10,9,9,10,10,12,11,10,8,12,1,DM C,1,1,1,1,1,1,1,1,1,20,15,1,1,1,1
19033169,Dudu Araxá,1651,24/04/1987,29,0,0,0,0,183,77,2,1,3,1,2,3,1,1,3,2,3,6,8,8,8,11,7,10,9,6,12,12,9,11,10,11,11,13,9,10,9,9,11,8,11,11,12,12,12,11,12,11,11,10,14,11,20,13,11,10,5,10,9,11,12,12,8,10,14,15,14,8,DM/M C,1,1,1,1,1,1,1,1,1,20,18,1,1,1,1
19033197,Leandro Cardoso,1651,28/07/1981,34,0,0,0,0,190,83,1,3,3,1,3,3,2,2,1,1,4,4,3,7,5,10,1,10,6,1,11,8,5,11,6,6,12,11,9,11,8,15,11,1,9,9,15,9,10,10,8,10,12,10,12,8,20,9,12,10,9,4,10,10,11,10,13,12,13,11,10,9,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
19033222,Nequinha,1651,29/03/1981,35,0,0,0,0,167,68,3,2,2,2,2,1,2,1,4,1,1,5,7,6,8,12,2,9,5,6,11,11,7,13,9,5,11,9,10,14,11,16,9,7,8,9,10,10,11,11,11,10,4,10,8,9,20,12,9,9,7,9,9,9,16,10,9,10,11,6,8,7,D/WB R,1,1,1,1,1,1,1,1,20,13,10,1,1,1,18
19033327,Gabriel Machado,1651,02/09/1989,26,0,0,0,0,184,80,1,1,1,1,1,2,4,2,1,1,2,6,6,11,9,10,4,9,8,3,3,8,8,3,13,12,10,10,7,8,6,7,14,17,7,14,5,11,12,11,13,9,7,7,14,13,20,13,9,11,5,14,9,8,14,13,10,12,12,12,10,5,S ,1,1,20,12,1,12,1,1,1,1,1,1,1,1,1
19033333,Jô,1651,04/01/1987,29,0,0,0,0,186,0,2,2,2,3,2,2,3,3,3,4,1,8,13,11,12,10,7,9,9,3,7,6,3,4,11,10,11,7,11,8,8,7,6,13,3,13,8,8,7,13,12,7,9,10,17,11,20,12,8,10,8,8,3,10,13,10,11,9,13,2,3,1,AM/S RLC,1,1,17,20,17,17,1,1,1,1,1,1,1,1,1
19033532,Pastor,1651,25/10/1988,27,0,0,0,0,190,0,1,3,1,2,3,2,2,3,2,1,1,1,1,2,1,5,2,12,1,1,8,2,1,12,3,8,10,7,5,4,4,12,1,1,13,4,12,4,5,12,11,5,9,8,14,12,20,10,10,8,8,7,8,8,10,11,11,11,11,2,8,2,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
19033539,Elton,1651,31/01/1987,29,0,0,0,0,187,0,1,1,1,1,3,2,2,2,1,2,4,6,6,3,6,13,6,6,7,1,7,13,3,12,13,4,9,7,8,7,9,13,9,6,5,4,11,7,10,13,11,7,11,8,11,13,20,6,8,9,7,2,9,9,17,14,15,11,10,3,9,1,DM ,1,1,1,1,1,1,1,1,1,20,13,1,1,1,1
19033554,Anderson Corrêa,1651,21/02/1982,34,0,0,0,0,189,84,10,11,10,8,8,12,11,9,8,7,11,3,5,1,2,6,1,6,2,2,3,7,1,3,3,10,10,9,9,11,10,10,4,8,10,8,12,12,13,9,9,9,12,5,10,12,20,13,16,11,9,9,5,4,20,12,9,12,13,2,12,4,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19033558,Cléber Alves,1651,15/07/1986,29,0,0,0,0,188,92,10,6,9,1,11,13,8,11,9,6,9,3,1,2,1,1,8,1,1,1,3,1,3,3,4,9,8,12,7,9,6,13,3,3,10,3,10,7,6,11,15,7,13,10,15,10,20,4,10,9,9,1,6,9,18,12,9,9,11,8,13,6,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19033594,Junior Moraes,1651,04/04/1987,29,0,0,0,0,178,75,2,2,3,2,2,2,1,3,3,3,1,6,11,15,14,16,11,14,13,3,3,14,14,5,16,12,10,12,13,12,15,14,14,15,14,14,11,15,17,14,15,12,10,12,14,14,20,14,14,15,5,14,6,9,17,14,15,14,19,14,12,5,AM/S C,1,1,20,17,1,10,1,1,1,1,1,1,8,1,1
19033601,Marcelo,1651,20/05/1987,29,0,0,4,0,191,80,1,3,3,3,2,2,1,2,2,1,3,4,4,7,8,8,4,16,7,10,15,13,7,15,10,12,13,12,12,14,8,13,16,7,13,10,14,10,11,11,11,14,16,10,14,13,20,12,16,14,12,12,10,5,13,15,9,12,10,9,7,17,D C,1,1,1,1,1,1,20,1,1,10,1,1,1,1,1
19033625,Geandro,1651,26/11/1987,28,0,0,0,0,179,87,3,1,1,3,1,2,3,3,1,3,4,9,9,9,9,14,12,9,10,7,9,10,7,11,13,9,12,12,11,11,11,12,12,10,15,10,12,11,12,12,11,11,9,11,11,12,20,10,14,12,4,1,10,10,11,12,11,13,12,10,11,9,DM C,1,1,1,1,1,1,1,1,12,20,15,1,1,1,10
19033633,Jairo,1651,31/12/1986,29,0,0,0,0,179,78,2,1,2,3,2,1,3,1,2,3,1,2,4,8,9,9,2,10,8,6,12,5,4,12,10,13,12,14,10,10,4,9,14,7,13,6,14,15,15,10,11,10,8,8,9,10,20,13,12,12,6,12,7,8,6,6,16,12,15,12,8,12,D/DM C,1,1,1,1,1,1,16,1,1,20,12,1,1,1,1
19033637,Edílson,1651,18/02/1989,27,0,0,0,0,190,87,12,11,5,7,12,9,10,12,8,8,7,2,1,2,2,1,4,1,2,1,1,1,3,2,1,8,8,15,5,4,4,10,8,3,9,1,4,5,4,12,8,5,12,8,8,11,20,1,9,8,8,7,8,8,20,12,13,9,11,1,1,1,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19033641,Petterson,1651,21/07/1988,27,0,0,0,0,190,81,2,1,3,1,3,3,3,3,2,1,3,1,5,2,1,6,1,11,5,1,7,7,2,12,4,9,11,9,6,10,1,13,6,4,9,6,12,6,7,13,9,8,14,20,13,13,10,12,12,9,9,9,9,8,13,11,13,13,10,8,13,8,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
19033650,Endy,1651,02/02/1989,27,0,0,0,0,179,78,1,1,2,2,3,3,1,3,1,3,1,6,4,3,3,13,6,6,10,6,8,12,1,13,12,9,10,8,7,8,7,13,8,5,11,6,8,7,11,13,13,7,8,7,10,13,20,7,5,9,8,5,9,9,10,9,11,12,10,10,6,1,DM ,1,1,1,1,1,1,1,1,1,20,10,1,1,1,1
19033651,Claydir,1651,30/09/1987,28,0,0,0,0,163,0,1,3,2,2,3,3,1,3,2,2,3,6,5,8,5,11,7,7,9,7,9,14,3,13,8,9,10,8,8,7,10,12,7,9,4,11,9,10,17,14,14,8,2,9,10,13,20,10,6,9,6,9,9,9,7,11,10,12,12,8,3,4,D/DM/M RC,1,1,1,10,1,1,1,1,20,18,16,1,1,1,1
19033655,Rafael Oliveira,1651,06/07/1987,28,0,0,0,0,187,79,3,1,1,4,2,3,4,2,3,3,3,7,6,8,14,12,7,13,11,4,5,11,12,5,10,12,10,13,12,11,10,12,11,11,11,10,10,11,14,13,12,13,14,8,12,13,20,11,13,12,9,12,14,8,11,10,10,11,11,10,13,12,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
19033912,Bruno,1651,09/01/1990,26,0,0,0,0,184,0,1,2,3,1,3,2,1,1,2,3,3,6,4,13,9,13,6,13,7,3,5,5,6,1,9,9,12,2,13,7,7,13,5,9,10,10,6,6,7,13,13,7,8,9,13,13,20,9,6,9,7,9,9,9,18,11,9,10,13,10,7,1,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
19033916,Cláudio Willian,1651,10/03/1987,29,0,0,0,0,178,0,2,2,2,2,3,1,2,3,1,3,3,6,6,6,7,12,6,6,6,1,7,14,2,6,12,8,7,7,7,7,10,7,6,11,5,8,6,7,8,14,14,7,5,8,10,14,20,12,5,8,7,4,8,8,11,10,10,11,9,1,10,7,M/AM C,1,1,1,20,1,1,1,1,1,1,16,1,1,1,1
19033996,Rodrigues,1651,15/06/1986,30,0,0,0,0,175,60,3,3,4,3,2,1,1,1,2,1,2,8,10,12,7,10,12,7,10,10,9,10,5,10,11,8,11,10,9,9,8,10,1,11,7,9,7,8,7,16,13,9,7,20,8,16,7,9,8,9,11,9,8,8,13,10,12,13,14,12,10,4,D/WB L,1,1,1,1,1,1,1,20,1,1,1,1,1,16,1
19034028,Zambi,1651,19/01/1987,29,0,0,0,0,182,0,2,1,2,1,1,3,2,3,3,2,3,6,4,14,10,14,8,14,7,4,8,9,6,5,10,7,14,9,13,7,7,10,7,9,10,14,9,8,9,14,13,9,7,9,11,13,20,14,11,10,6,6,7,10,13,13,10,12,11,4,14,8,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
19034071,Andrezinho,1651,12/02/1986,30,0,0,0,0,175,67,3,2,2,2,2,2,3,3,2,3,1,12,14,12,10,13,7,8,10,6,7,13,4,8,10,10,13,12,9,8,10,10,13,13,3,10,7,9,13,10,9,11,9,12,11,10,20,14,13,5,7,4,10,10,11,10,13,12,12,8,15,1,M/AM RLC,1,1,1,17,15,17,1,1,1,1,20,15,17,1,1
19034380,Panda,1651,09/07/1984,31,0,0,0,0,177,80,2,1,1,3,1,2,2,1,2,1,2,13,12,11,7,6,14,5,12,14,12,12,13,11,12,13,12,14,13,12,10,12,12,14,11,12,12,13,12,13,11,13,7,20,14,13,7,13,11,12,10,13,8,14,11,12,16,13,14,11,13,7,D/DM/M LC,1,1,1,1,1,1,1,20,1,20,18,12,1,15,1
19034458,Fernando Belém,1651,03/08/1983,32,0,0,0,0,185,83,3,2,2,3,2,3,3,2,3,4,1,1,3,6,5,7,3,13,6,8,11,8,2,15,6,9,11,10,10,9,5,10,5,1,5,6,11,8,9,10,12,9,13,10,9,13,20,13,12,9,9,9,9,9,10,12,13,13,10,3,5,3,D C,1,11,1,1,1,1,20,1,1,1,1,1,1,1,1
19034461,Clebson,1651,04/09/1985,30,0,0,0,0,164,69,3,1,3,1,2,3,3,3,3,1,2,10,13,14,13,13,8,11,12,10,9,16,6,8,13,9,13,9,11,7,12,12,4,14,9,13,12,13,12,14,15,5,4,10,16,13,20,7,5,12,5,3,5,16,16,11,10,12,13,6,9,2,M/AM RLC,1,1,1,20,1,1,1,1,1,1,18,18,18,1,1
